Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
Sioux County,"2,530","1,490","1,160",330,22.1,0,"1,030",
Slope County,610,410,400,10,2.4,0,200,
Stark County,"16,820","11,430","10,930",510,4.5,30,"5,350",
Steele County,"1,730","1,090","1,060",30,2.8,10,640,
Stutsman County,"16,120","11,010","10,640",370,3.4,20,"5,090",
Towner County,"2,220","1,370","1,340",30,2.2,0,840,
Traill County,"6,200","3,930","3,790",130,3.3,20,"2,250",
Walsh County,"9,400","6,060","5,810",260,4.3,0,"3,340",
Ward County,"43,130","27,000","25,830","1,170",4.3,"3,300","12,830",
Wells County,"3,990","2,300","2,160",140,6.1,0,"1,690",
Williams County,"14,880","10,070","9,540",530,5.3,0,"4,810",
Ohio,"8,493,430","5,614,040","5,353,270","260,780",4.6,"9,410","2,869,970",Ohio
Adams County,"20,670","12,170","11,290",880,7.2,10,"8,490",
Allen County,"77,460","49,630","47,020","2,610",5.3,30,"27,800",
Ashland County,"38,450","25,570","24,640",930,3.6,20,"12,870",
Ashtabula County,"77,230","49,060","46,580","2,480",5.1,40,"28,130",
Athens County,"44,050","25,910","24,220","1,690",6.5,90,"18,050",
Auglaize County,"34,330","24,140","23,370",770,3.2,0,"10,180",
Belmont County,"53,890","30,560","28,450","2,110",6.9,10,"23,330",
Brown County,"31,350","20,070","19,060","1,010",5.0,10,"11,280",
Butler County,"244,970","167,060","161,120","5,940",3.6,210,"77,700",
Carroll County,"22,020","13,740","13,150",590,4.3,0,"8,270",
Champaign County,"29,220","20,030","19,230",790,3.9,10,"9,190",
Clark County,"108,740","70,220","66,220","4,000",5.7,230,"38,290",
Clermont County,"132,270","93,160","89,920","3,240",3.5,10,"39,110",
Clinton County,"30,110","20,880","19,990",890,4.3,10,"9,230",
Columbiana County,"84,340","52,730","50,260","2,470",4.7,40,"31,580",
Coshocton County,"27,850","17,730","16,790",930,5.2,0,"10,130",
Crawford County,"36,040","22,930","21,770","1,160",5.1,20,"13,090",
Cuyahoga County,"1,054,220","668,580","629,170","39,410",5.9,630,"385,010",
Darke County,"40,080","26,850","25,810","1,040",3.9,0,"13,230",
Defiance County,"29,780","20,470","19,810",660,3.2,20,"9,290",
Delaware County,"79,500","59,390","58,270","1,120",1.9,50,"20,060",
Erie County,"60,470","39,310","37,630","1,680",4.3,20,"21,130",
Fairfield County,"90,820","63,540","61,470","2,060",3.2,110,"27,180",
Fayette County,"21,480","14,270","13,610",660,4.6,10,"7,200",
Franklin County,"805,190","575,950","553,040","22,900",4.0,670,"228,580",
Fulton County,"31,200","21,930","21,210",720,3.3,30,"9,240",
Gallia County,"23,360","13,070","11,910","1,160",8.9,20,"10,270",
Geauga County,"67,070","46,360","45,110","1,250",2.7,20,"20,680",
Greene County,"109,080","71,700","69,090","2,610",3.6,"2,280","35,110",
Guernsey County,"30,890","18,210","16,960","1,250",6.9,40,"12,640",
Hamilton County,"633,240","422,270","402,330","19,940",4.7,210,"210,760",
Hancock County,"53,230","36,950","35,950",990,2.7,40,"16,240",
Hardin County,"23,070","14,520","13,990",530,3.7,0,"8,550",
Harrison County,"12,430","7,020","6,690",330,4.7,0,"5,410",
Henry County,"21,620","14,670","14,050",620,4.2,0,"6,950",
Highland County,"30,620","19,130","17,990","1,140",6.0,10,"11,490",
Hocking County,"21,250","12,810","12,090",720,5.6,10,"8,430",
Holmes County,"25,600","17,070","16,680",400,2.3,0,"8,520",
Huron County,"43,970","29,580","28,090","1,490",5.0,20,"14,360",
Jackson County,"24,670","14,390","13,280","1,110",7.7,10,"10,270",
Jefferson County,"57,860","31,160","28,980","2,180",7.0,20,"26,680",
Knox County,"39,020","25,770","24,720","1,050",4.1,0,"13,250",
Lake County,"176,130","122,650","118,380","4,270",3.5,90,"53,390",
Lawrence County,"48,260","25,930","23,750","2,170",8.4,10,"22,330",
Licking County,"108,530","74,110","71,330","2,780",3.8,150,"34,280",
Logan County,"34,570","23,400","22,540",860,3.7,10,"11,160",
Lorain County,"209,710","140,190","134,220","5,970",4.3,110,"69,410",
Lucas County,"339,790","223,710","210,380","13,330",6.0,120,"115,960",
Madison County,"27,150","18,740","18,170",570,3.0,20,"8,390",
Mahoning County,"196,350","118,120","110,890","7,230",6.1,50,"78,170",
Marion County,"47,170","31,080","29,710","1,370",4.4,30,"16,060",
Medina County,"112,640","80,340","77,720","2,620",3.3,50,"32,260",
Meigs County,"18,010","9,920","8,920",990,10.0,20,"8,080",
Mercer County,"29,790","20,670","20,000",660,3.2,0,"9,120",
Miami County,"74,930","52,240","50,650","1,590",3.0,30,"22,660",
Monroe County,"11,930","6,320","5,890",430,6.8,0,"5,610",
Montgomery County,"420,880","272,240","258,760","13,480",5.0,"2,540","146,090",
Morgan County,"11,410","6,480","5,930",550,8.5,20,"4,920",
Morrow County,"23,590","15,990","15,300",690,4.3,10,"7,590",
Muskingum County,"62,570","40,310","38,010","2,300",5.7,70,"22,190",
Noble County,"9,040","5,430","5,100",330,6.1,0,"3,600",
Ottawa County,"32,030","20,650","19,810",850,4.1,20,"11,360",
Paulding County,"15,460","10,160","9,830",330,3.2,10,"5,290",
Perry County,"25,270","15,510","14,590",920,5.9,20,"9,750",
Pickaway County,"35,110","23,140","22,260",880,3.8,40,"11,930",
Pike County,"20,610","11,350","10,360",990,8.7,0,"9,260",
Portage County,"112,730","79,630","76,240","3,390",4.3,80,"33,020",
Preble County,"32,140","21,410","20,540",870,4.1,10,"10,720",
Putnam County,"25,180","17,580","17,060",510,2.9,10,"7,590",
Richland County,"94,190","60,940","58,070","2,870",4.7,180,"33,070",
Ross County,"52,430","32,620","30,950","1,670",5.1,10,"19,800",
Sandusky County,"46,650","31,670","30,450","1,230",3.9,30,"14,960",
Scioto County,"58,950","31,610","28,860","2,750",8.7,30,"27,310",
Seneca County,"43,740","29,660","28,380","1,290",4.3,10,"14,070",
Shelby County,"35,070","24,740","23,950",790,3.2,20,"10,310",
Stark County,"286,300","186,680","178,510","8,170",4.4,60,"99,570",
Summit County,"412,510","275,110","261,680","13,430",4.9,230,"137,180",
Trumbull County,"172,820","105,400","99,520","5,880",5.6,110,"67,310",
Tuscarawas County,"69,310","44,600","42,870","1,730",3.9,20,"24,690",
Union County,"28,560","21,310","20,830",480,2.3,20,"7,230",
Van Wert County,"22,540","15,310","14,580",730,4.8,10,"7,220",
Vinton County,"9,530","5,340","4,870",470,8.8,10,"4,180",
Warren County,"112,630","79,800","77,620","2,180",2.7,120,"32,710",
Washington County,"48,510","30,200","28,280","1,920",6.4,10,"18,300",
Wayne County,"81,390","56,230","54,510","1,730",3.1,20,"25,130",
Williams County,"29,050","20,720","20,020",700,3.4,10,"8,320",
Wood County,"88,380","62,500","60,460","2,040",3.3,120,"25,760",
Wyandot County,"17,230","11,800","11,480",320,2.7,0,"5,420",
Oklahoma,"2,556,210","1,610,870","1,531,590","79,280",4.9,"16,220","929,110",Oklahoma
Adair County,"15,100","9,060","8,410",650,7.2,10,"6,030",
Alfalfa County,"4,010","2,430","2,370",70,2.9,0,"1,570",
Atoka County,"9,470","5,190","4,850",340,6.6,0,"4,280",
Beaver County,"4,410","2,790","2,720",70,2.5,0,"1,620",
Beckham County,"13,670","8,420","7,890",530,6.3,0,"5,250",
Blaine County,"7,870","4,780","4,530",250,5.2,0,"3,090",
Bryan County,"27,530","16,240","15,430",810,5.0,10,"11,280",
Caddo County,"21,550","12,140","11,340",800,6.6,40,"9,360",
Canadian County,"63,870","45,130","43,590","1,550",3.4,160,"18,580",
Carter County,"34,010","20,410","19,310","1,100",5.4,30,"13,570",
Cherokee County,"31,110","18,450","17,350","1,100",6.0,20,"12,640",
Choctaw County,"11,620","6,110","5,680",430,7.0,10,"5,510",
Cimarron County,"2,350","1,450","1,420",30,2.1,0,900,
Cleveland County,"154,290","107,030","102,990","4,050",3.8,"1,660","45,600",
Coal County,"4,530","2,440","2,280",170,7.0,0,"2,090",
Comanche County,"76,540","43,270","40,230","3,040",7.0,"6,060","27,210",
Cotton County,"4,970","2,800","2,670",140,5.0,40,"2,130",
Craig County,"10,710","6,480","6,280",200,3.1,10,"4,230",
Creek County,"50,520","31,000","29,530","1,480",4.8,30,"19,490",
Custer County,"19,510","12,720","12,130",580,4.6,20,"6,770",
Delaware County,"28,590","15,680","14,720",950,6.1,10,"12,910",
Dewey County,"3,700","2,190","2,120",70,3.2,0,"1,510",
Ellis County,"3,240","2,000","1,950",50,2.5,0,"1,240",
Garfield County,"43,520","27,170","25,960","1,210",4.5,970,"15,380",
Garvin County,"20,770","12,200","11,540",660,5.4,10,"8,570",
Grady County,"34,160","21,430","20,440",990,4.6,60,"12,670",
Grant County,"3,890","2,410","2,350",60,2.5,0,"1,480",
Greer County,"4,060","2,190","2,060",130,5.9,0,"1,870",
Harmon County,"2,420","1,330","1,260",70,5.3,0,"1,090",
Harper County,"2,820","1,740","1,710",20,1.1,0,"1,080",
Haskell County,"8,960","4,830","4,600",230,4.8,0,"4,130",
Hughes County,"9,970","5,310","4,980",330,6.2,0,"4,660",
Jackson County,"20,300","11,660","11,060",610,5.2,"1,370","7,270",
Jefferson County,"5,030","2,760","2,600",150,5.4,0,"2,280",
Johnston County,"7,900","4,300","4,110",190,4.4,10,"3,590",
Kay County,"35,800","21,560","20,190","1,370",6.4,10,"14,220",
Kingfisher County,"10,400","6,880","6,640",240,3.5,0,"3,510",
Kiowa County,"7,770","4,420","4,160",260,5.9,20,"3,330",
Latimer County,"7,630","4,070","3,760",310,7.6,0,"3,560",
Le Flore County,"35,550","20,340","19,080","1,250",6.1,30,"15,190",
Lincoln County,"24,010","14,580","13,910",670,4.6,70,"9,360",
Logan County,"24,440","16,120","15,530",590,3.7,30,"8,290",
Love County,"6,800","4,110","3,900",210,5.1,10,"2,680",
Major County,"5,820","3,740","3,620",120,3.2,0,"2,070",
Marshall County,"10,210","5,500","5,270",230,4.2,0,"4,710",
Mayes County,"28,880","17,450","16,520",930,5.3,10,"11,420",
McClain County,"21,050","13,460","12,980",480,3.6,40,"7,540",
McCurtain County,"25,320","14,300","13,240","1,060",7.4,0,"11,030",
McIntosh County,"15,280","7,790","7,280",510,6.5,10,"7,480",
Murray County,"9,680","5,890","5,550",340,5.8,10,"3,780",
Muskogee County,"50,590","29,090","27,100","1,990",6.8,30,"21,470",
Noble County,"8,590","5,540","5,340",210,3.8,10,"3,030",
Nowata County,"7,930","4,710","4,520",190,4.0,0,"3,230",
Okfuskee County,"8,200","4,510","4,130",380,8.4,10,"3,680",
Oklahoma County,"494,080","319,420","303,140","16,280",5.1,"4,590","170,070",
Okmulgee County,"29,310","16,600","15,470","1,130",6.8,30,"12,680",
Osage County,"32,740","20,410","19,260","1,140",5.6,0,"12,330",
Ottawa County,"24,750","14,710","13,930",780,5.3,30,"10,010",
Pawnee County,"12,590","7,650","7,270",380,5.0,0,"4,930",
Payne County,"49,610","33,490","32,250","1,240",3.7,80,"16,040",
Pittsburg County,"32,190","17,860","16,600","1,260",7.1,50,"14,280",
Pontotoc County,"26,500","16,330","15,680",650,4.0,20,"10,150",
Pottawatomie County,"47,710","29,090","27,550","1,550",5.3,100,"18,520",
Pushmataha County,"8,830","4,560","4,260",300,6.6,0,"4,260",
Roger Mills County,"2,720","1,680","1,640",40,2.4,0,"1,040",
Rogers County,"51,840","34,560","33,290","1,280",3.7,10,"17,270",
Seminole County,"18,700","10,290","9,510",770,7.5,10,"8,410",
Sequoyah County,"29,040","16,850","15,900",950,5.6,40,"12,150",
Stephens County,"33,360","18,980","17,750","1,230",6.5,30,"14,350",
Texas County,"14,600","9,990","9,570",420,4.2,0,"4,610",
Tillman County,"6,770","3,620","3,470",140,3.9,30,"3,130",
Tulsa County,"420,420","285,920","273,650","12,270",4.3,330,"134,170",
Wagoner County,"43,100","28,420","27,370","1,050",3.7,50,"14,630",
Washington County,"37,600","22,280","21,230","1,060",4.8,10,"15,310",
Washita County,"8,690","5,270","5,060",210,4.0,10,"3,420",
Woods County,"6,620","4,350","4,220",140,3.2,0,"2,260",
Woodward County,"13,530","8,950","8,400",550,6.1,0,"4,580",
Oregon,"2,598,140","1,720,160","1,615,180","104,980",6.1,"2,210","875,770",Oregon
Baker County,"12,780","7,290","6,700",590,8.1,10,"5,480",
Benton County,"58,670","38,770","37,060","1,720",4.4,100,"19,800",
Clackamas County,"257,650","178,140","169,270","8,870",5.0,140,"79,360",
Clatsop County,"27,380","17,180","16,320",860,5.0,410,"9,790",
Columbia County,"32,820","21,320","19,990","1,330",6.2,40,"11,450",
Coos County,"49,630","27,300","25,050","2,250",8.2,150,"22,170",
Crook County,"14,500","8,750","8,090",660,7.5,0,"5,750",
Curry County,"17,360","8,530","7,950",580,6.8,70,"8,760",
Deschutes County,"88,930","58,480","55,620","2,860",4.9,50,"30,410",
Douglas County,"77,960","44,850","41,570","3,280",7.3,80,"33,040",
Gilliam County,"1,510",990,940,40,4.0,0,520,
Grant County,"6,010","3,730","3,320",420,11.3,0,"2,280",
Harney County,"5,740","3,760","3,410",350,9.3,0,"1,980",
Hood River County,"14,630","9,810","9,200",610,6.2,0,"4,820",
Jackson County,"138,710","86,090","80,150","5,950",6.9,80,"52,540",
Jefferson County,"13,830","8,900","8,150",750,8.4,0,"4,920",
Josephine County,"59,300","31,190","28,240","2,950",9.5,30,"28,070",
Klamath County,"48,160","28,790","26,000","2,780",9.7,230,"19,150",
Lake County,"5,770","3,360","3,080",280,8.3,0,"2,410",
Lane County,"251,030","163,750","154,010","9,740",5.9,70,"87,210",
Lincoln County,"35,530","20,910","19,220","1,690",8.1,30,"14,590",
Linn County,"78,620","49,940","46,100","3,840",7.7,30,"28,650",
Malheur County,"20,550","12,550","11,300","1,250",10.0,0,"8,000",
Marion County,"205,490","135,570","125,260","10,310",7.6,120,"69,800",
Morrow County,"7,960","5,180","4,640",540,10.4,10,"2,770",
Multnomah County,"512,740","358,920","337,930","20,990",5.8,230,"153,590",
Polk County,"46,580","30,530","28,780","1,750",5.7,0,"16,040",
Sherman County,"1,490",890,830,70,7.9,0,600,
Tillamook County,"19,120","11,410","10,920",490,4.3,20,"7,690",
Umatilla County,"50,010","33,280","31,040","2,250",6.8,20,"16,700",
Union County,"18,630","11,550","10,690",860,7.4,30,"7,050",
Wallowa County,"5,590","3,400","3,040",370,10.9,0,"2,190",
Wasco County,"17,980","11,060","10,250",810,7.3,0,"6,920",
Washington County,"334,330","242,960","232,320","10,640",4.4,200,"91,170",
Wheeler County,"1,230",660,610,40,6.1,0,580,
Yamhill County,"59,930","40,380","38,150","2,240",5.5,30,"19,520",
Pennsylvania,"9,268,560","5,872,940","5,588,370","284,560",4.8,"7,280","3,388,340",Pennsylvania
Adams County,"67,710","46,780","45,480","1,300",2.8,70,"20,860",
Allegheny County,"992,230","617,020","586,800","30,220",4.9,660,"374,560",
Armstrong County,"56,780","32,040","30,220","1,830",5.7,30,"24,710",
Beaver County,"140,750","85,930","81,830","4,110",4.8,100,"54,710",
Bedford County,"39,070","23,770","22,440","1,330",5.6,0,"15,290",
Berks County,"279,600","185,380","178,600","6,780",3.7,150,"94,070",
Blair County,"99,280","60,740","57,550","3,190",5.3,70,"38,480",
Bradford County,"47,690","29,410","27,960","1,450",4.9,20,"18,260",
Bucks County,"452,950","317,310","307,140","10,170",3.2,700,"134,940",
Butler County,"129,710","84,630","81,530","3,100",3.7,50,"45,020",
Cambria County,"116,580","64,990","60,370","4,620",7.1,80,"51,510",
Cameron County,"4,610","2,710","2,540",170,6.3,0,"1,900",
Carbon County,"46,330","27,920","26,420","1,510",5.4,30,"18,380",
Centre County,"99,410","64,250","61,610","2,650",4.1,130,"35,020",
Chester County,"318,550","223,830","217,780","6,060",2.7,160,"94,560",
Clarion County,"31,500","18,600","17,390","1,220",6.6,10,"12,880",
Clearfield County,"63,530","38,090","35,640","2,450",6.4,30,"25,410",
Clinton County,"28,530","17,160","16,260",890,5.2,20,"11,360",
Columbia County,"48,760","30,740","28,800","1,940",6.3,20,"18,000",
Crawford County,"67,180","41,040","38,840","2,200",5.4,30,"26,110",
Cumberland County,"158,330","106,470","103,680","2,780",2.6,890,"50,970",
Dauphin County,"191,070","127,720","122,190","5,520",4.3,330,"63,020",
Delaware County,"408,630","265,670","254,610","11,050",4.2,180,"142,790",
Elk County,"27,230","17,500","16,710",790,4.5,0,"9,730",
Erie County,"205,280","133,150","126,330","6,810",5.1,140,"71,990",
Fayette County,"116,220","63,470","58,780","4,690",7.4,40,"52,720",
Forest County,"3,800","1,960","1,830",130,6.6,10,"1,830",
Franklin County,"98,810","64,610","62,380","2,230",3.5,120,"34,080",
Fulton County,"11,030","6,980","6,710",270,3.9,0,"4,040",
Greene County,"29,570","16,140","15,040","1,100",6.8,40,"13,390",
Huntingdon County,"32,270","19,610","18,500","1,110",5.7,10,"12,660",
Indiana County,"68,030","38,990","36,380","2,610",6.7,40,"29,010",
Jefferson County,"35,550","21,150","19,840","1,310",6.2,30,"14,360",
Juniata County,"17,250","10,970","10,580",390,3.6,10,"6,270",
Lackawanna County,"164,520","99,230","95,080","4,150",4.2,100,"65,190",
Lancaster County,"344,120","239,390","232,770","6,620",2.8,180,"104,550",
Lawrence County,"72,410","42,930","40,540","2,390",5.6,70,"29,420",
Lebanon County,"90,830","61,120","59,120","2,000",3.3,220,"29,490",
Lehigh County,"235,620","154,980","148,920","6,060",3.9,90,"80,560",
Luzerne County,"247,680","149,590","142,370","7,210",4.8,120,"97,970",
Lycoming County,"90,010","57,270","54,290","2,970",5.2,70,"32,680",
McKean County,"33,780","21,060","19,820","1,240",5.9,10,"12,700",
Mercer County,"89,670","54,080","51,080","3,000",5.5,60,"35,540",
Mifflin County,"35,600","21,320","20,470",860,4.0,0,"14,270",
Monroe County,"102,180","66,300","62,830","3,470",5.2,70,"35,810",
Montgomery County,"566,230","394,460","383,210","11,250",2.9,740,"171,030",
Montour County,"13,430","8,600","8,210",400,4.7,0,"4,820",
Northampton County,"201,680","130,730","125,730","4,990",3.8,80,"70,870",
Northumberland County,"72,910","43,870","41,660","2,220",5.1,50,"28,990",
Perry County,"33,330","22,570","21,720",850,3.8,20,"10,740",
Philadelphia County,"1,121,230","637,880","575,110","62,770",9.8,350,"483,000",
Pike County,"34,960","20,680","19,600","1,080",5.2,20,"14,260",
Potter County,"13,630","8,310","7,800",510,6.1,10,"5,320",
Schuylkill County,"115,700","67,530","63,620","3,910",5.8,100,"48,070",
Snyder County,"27,300","17,590","17,020",570,3.2,20,"9,690",
Somerset County,"61,060","36,550","34,500","2,050",5.6,30,"24,490",
Sullivan County,"5,040","2,800","2,620",180,6.4,0,"2,240",
Susquehanna County,"32,410","19,910","19,070",840,4.2,10,"12,480",
Tioga County,"31,100","18,800","17,760","1,040",5.5,10,"12,290",
Union County,"25,610","15,900","15,410",490,3.1,20,"9,680",
Venango County,"43,810","26,010","24,330","1,690",6.5,40,"17,760",
Warren County,"33,530","21,430","20,370","1,070",5.0,10,"12,090",
Washington County,"157,880","94,000","89,900","4,100",4.4,140,"63,750",
Wayne County,"35,810","21,320","20,170","1,150",5.4,40,"14,450",
Westmoreland County,"289,990","175,430","166,820","8,610",4.9,170,"114,400",
Wyoming County,"21,280","13,250","12,610",640,4.8,10,"8,010",
York County,"290,410","201,350","195,100","6,250",3.1,220,"88,840",
Rhode Island,"789,560","517,080","490,790","26,280",5.1,"2,820","269,660",Rhode Island
Bristol County,"37,510","25,040","24,070",970,3.9,40,"12,430",
Kent County,"131,060","89,380","85,680","3,710",4.2,220,"41,460",
Newport County,"65,820","43,230","41,230","2,000",4.6,"1,900","20,690",
Providence County,"462,540","294,710","277,730","16,970",5.8,300,"167,530",
Washington County,"92,630","64,720","62,080","2,640",4.1,360,"27,550",
South Carolina,"2,981,230","1,906,210","1,808,120","98,080",5.1,"18,810","1,056,210",South Carolina
Abbeville County,"19,540","11,920","11,380",550,4.6,0,"7,620",
Aiken County,"107,510","67,200","63,530","3,670",5.5,240,"40,070",
Allendale County,"7,440","3,800","3,410",390,10.3,10,"3,630",
Anderson County,"126,740","80,480","77,290","3,200",4.0,70,"46,180",
Bamberg County,"11,940","6,310","5,770",540,8.6,10,"5,630",
Barnwell County,"17,360","10,180","9,400",790,7.8,10,"7,170",
Beaufort County,"89,030","49,720","47,700","2,020",4.1,"3,440","35,870",
Berkeley County,"101,750","64,280","61,140","3,140",4.9,"3,210","34,260",
Calhoun County,"11,680","6,910","6,500",410,5.9,30,"4,750",
Charleston County,"233,050","148,010","140,810","7,200",4.9,"3,100","81,940",
Cherokee County,"39,610","24,970","23,500","1,470",5.9,0,"14,640",
Chester County,"25,560","15,850","14,770","1,080",6.8,0,"9,710",
Chesterfield County,"32,020","19,330","17,630","1,700",8.8,10,"12,680",
Clarendon County,"23,610","12,800","11,960",840,6.6,30,"10,770",
Colleton County,"28,670","15,880","14,870","1,000",6.3,80,"12,720",
Darlington County,"50,290","30,950","28,700","2,250",7.3,10,"19,330",
Dillon County,"22,400","13,570","12,430","1,150",8.5,20,"8,810",
Dorchester County,"69,770","46,190","44,020","2,170",4.7,980,"22,610",
Edgefield County,"16,760","10,260","9,600",660,6.4,0,"6,510",
